id,author,state,created_at,closed_at,title
2176982035,hlming09,closed,2024-03-09 01:06:54+00:00,2024-03-09 06:21:09+00:00,AttributeError: Can't pickle local object 'data_provider.<locals>.<lambda>'
2174322442,yfprime,closed,2024-03-07 16:56:42+00:00,2024-03-07 17:07:34+00:00,How to set seasonal_patterns to seconds?
2174054952,ownnaruto,closed,2024-03-07 14:55:17+00:00,2024-03-08 11:39:43+00:00,batch size
2170545190,Wodsk,closed,2024-03-06 03:21:29+00:00,2024-03-06 08:15:55+00:00,时序序列表征学习
2170514411,lizhuoq,closed,2024-03-06 02:43:17+00:00,2024-03-06 08:17:22+00:00,关于imputation的mask_rate的问题
2168922822,suojifeng,closed,2024-03-05 11:07:30+00:00,2024-03-06 08:18:47+00:00,多元时序数据分类问题
2166412026,yunchuan18,closed,2024-03-04 09:47:10+00:00,2024-03-04 12:56:23+00:00,训练好的模型如何导出ONNX格式，部署到java？
2165758871,potoyeee,closed,2024-03-04 02:03:36+00:00,2024-03-04 12:52:48+00:00,您好，请问会添加《TimeXer: Empowering Transformers for Time Series Forecasting with Exogenous Variables》吗？非常感谢你们团队在时序方面的工作，TimeXer对实际的预测工作可能嗯有帮助。
2163200850,lss-1138,closed,2024-03-01 11:28:17+00:00,2024-03-28 13:28:37+00:00,Proposal: Adding SegRNN Code to the Library
2161229751,XingYuan1013,closed,2024-02-29 13:13:13+00:00,2024-03-04 12:53:10+00:00,关于不同CV模块的实验代码
2160905485,elenamanth,closed,2024-02-29 10:18:18+00:00,2024-03-28 13:24:28+00:00,Predictions in unseen data using TimesNet
2158125371,AcrazyQ,closed,2024-02-28 05:11:55+00:00,2024-02-29 05:20:19+00:00,多变量预测多变量能否指定多列预测目标
2156738727,ajati,closed,2024-02-27 14:27:04+00:00,2024-03-28 13:29:04+00:00,Add PatchTSMixer to the leaderboard/library
2152828737,elisim,closed,2024-02-25 16:01:57+00:00,2024-02-29 05:21:12+00:00,overall visualization code 
2148104423,kavinwow100,closed,2024-02-22 03:24:06+00:00,2024-07-14 02:59:34+00:00,预测结果和真实值发生偏移问题
2146487099,ztxtech,closed,2024-02-21 11:13:11+00:00,2024-05-13 02:41:09+00:00,Add a conventor from running script to json
2146474156,ztxtech,closed,2024-02-21 11:05:54+00:00,2024-03-28 13:42:26+00:00,'scripts/imputation/ETT_script/MICN_ETTh1.sh'中出现了未解析的args '--conv_kernel'
2143629816,hope-redemption,closed,2024-02-20 06:25:36+00:00,2024-06-14 01:55:14+00:00,problem with running classification problem about TimesNet
2142698453,Gczmy,closed,2024-02-19 16:00:05+00:00,2024-02-20 03:35:30+00:00,Weather数据集结果无法复现
2137947018,hope-redemption,closed,2024-02-16 06:17:41+00:00,2024-02-18 11:13:59+00:00,An inquiry about TimesNet
2137876891,loveoftheai,closed,2024-02-16 05:00:04+00:00,2024-05-27 09:12:38+00:00,Add TimesFM to the library
2136680588,LeSimo,closed,2024-02-15 14:30:50+00:00,2024-02-18 11:25:26+00:00,Clarifications on exp_anomaly_detections.py
2136513382,lzrbit,closed,2024-02-15 13:23:44+00:00,2024-02-18 11:26:31+00:00,Question about TimesNet
2133439177,chengsaf,closed,2024-02-14 02:27:15+00:00,2024-02-17 09:05:57+00:00,About the parameters features and target in the code
2114456237,moehmeni,closed,2024-02-02 09:13:01+00:00,2024-02-18 11:27:45+00:00,Add the new models to leaderboard
2112005395,ooooooover,closed,2024-02-01 09:30:12+00:00,2024-02-04 02:41:20+00:00,为什么认为将所有的seq_len设置为96是一种公平的表现
2099239106,huytran088,closed,2024-01-24 22:43:54+00:00,2024-02-18 11:30:24+00:00,How to feed my sensor dataset into the TimesNet model for classification task
2096120741,qiu69,closed,2024-01-23 13:41:01+00:00,2024-02-04 02:43:46+00:00,May I ask if the anomaly detection methods implemented in tslib need to be classified? Are they based on forecasting or reconstruction?
2093236792,chenrui-wu,closed,2024-01-22 07:08:53+00:00,2024-02-04 02:45:50+00:00,"Would you mind add ""One Fits All: Power General Time Series Analysis by Pretrained LM“"
2091803275,ashpoolresearch,closed,2024-01-20 01:49:44+00:00,2024-04-18 14:51:51+00:00,CPU-heavy operation slowing training
